Benedito Maia Pinto de Almeida	m 
José Américo de Almeida	m 
Maria Perpétua Almeida	f 
Pedro Macário de Almeida	m 
João Natal de Almeida	m 
Osvaldo Barreto de Almeida	m 
Landulfo Alves de Almeida	m 
Guilherme Xavier de Almeida	m 
José Cícero Soares de Almeida	m 
Henrique Alberto Magalhães de Almeida	m 
Gil Antônio Dias de Almeida	m 
Franklin de Almeida	m 
Hélio Melo de Almeida	m 
Daniel Gomes de Almeida	m 
Ângelo Nolasco de Almeida	m 
Otacílio Alves de Almeida	m 
Solange Pereira de Almeida	f 
Reinaldo Melo de Almeida	m 
Francisco Pires de Gaioso e Almendra	m 
Jacó Manuel Gaioso e Almendra	m 
Roberto Valadão Almokdice	m 
José Luís Alquéres	m 
Geraldo Althoff	m 
Aristides Junqueira Alvarenga	m 
Manuel Caldeira de Alvarenga	m 
Otávio Junqueira Melo Alvarenga	m 
Benedito Nilo de Alvarenga	m 
Osvino Ferreira Alves	m 
Aluísio Alves	m 
Válter Giordano Alves	m 
Ana Catarina Lira Alves	f 
Eduardo Valverde Araújo Alves	m 
Márcio Emanuel Moreira Alves	m 
Cícero Alves	m 
Oscar Alves	m 
Henrique Eduardo Lira Alves	m 
Lindomar Barbosa Alves	m 
Eliana Calmon Alves	f 
José de Ribamar Costa Alves	m 
Valdemar Luís Alves	m 
João José Alves	m 
Walson Lopes Alves	m 
Heraldo Tavares Alves	m 
Jesus Rodrigues Alves	m 
Hermano de Deus Nobre Alves	m 
Francisco Dias Alves	m 
José Carlos Moreira Alves	m 
Maria do Carmo do Nascimento Alves	f 
Daniel Silva Alves	m 
Rubem Bento Alves	m 
Oscar Rodrigues Alves	m 
Carlos Eduardo Nunes Alves	m 
Dário Moreira de Castro Alves	m 
Luís Barbosa Alves	m 
Roberto Cardoso Alves	m 
José de Paula Rodrigues Alves	m 
João França Alves	m 
Max Alvim	m 
José Joaquim de Sá Freire Alvim	m 
Hugo Panasco Alvim	m 
Uriel de Resende Alvim	m 
Mario Octavio Amadeo	m 
Octavio Tomás Ramón Amadeo	m 
Ariosto Mesquita Amado	m 
Gileno Amado	m 
Humberto de Andrade Amado	m 
Celso Fortes Amaral	m 
Francisco Amaral	m 
Joaquim Carlos Del Bosco Amaral	m 
Silvino Gurgel do Amaral	m 
Luís Avelino Gurgel do Amaral	m 
Irnack Carvalho do Amaral	m 
Solange Amaral	f 
Otávio Campos do Amaral	m 
